Num Count
0.00 99642
0.01 0
0.02 0
0.03 0
0.04 0
0.05 0
0.06 0
0.07 0
0.08 0
0.09 0
0.10 0
0.11 0
0.12 0
0.13 0
0.14 0
0.15 0
0.16 0
0.17 0
0.18 99441
0.19 0
0.20 0
0.21 0
0.22 98615
0.23 0
0.24 98884
0.25 0
0.26 99645
0.27 0
0.28 98515
0.29 98991
0.30 99587
0.31 98812
0.32 99272
0.33 99130
0.34 198045
0.35 99205
0.36 98714
0.37 198296
0.38 198983
0.39 197369
0.40 198053
0.41 198698
0.42 296938
0.43 197930
0.44 296255
0.45 297397
0.46 396959
0.47 296375
0.48 395278
0.49 296839
0.50 395648
0.51 395358
0.52 297130
0.53 395494
0.54 297187
0.55 295994
0.56 197763
0.57 297262
0.58 198026
0.59 198343
0.60 197907
0.61 198687
0.62 197689
0.63 98797
0.64 99499
0.65 197923
0.66 98658
0.67 99825
0.68 99163
0.69 98970
0.70 98599
0.71 98872
0.72 0
0.73 98982
0.74 0
0.75 98334
0.76 0
0.77 99938
0.78 0
0.79 0
0.80 0
0.81 99505
0.82 0
0.83 0
0.84 0
0.85 0
0.86 0
0.87 0
0.88 0
0.89 0
0.90 0
0.91 0
0.92 0
0.93 0
0.94 0
0.95 0
0.96 0
0.97 0
0.98 0
0.99 0
